Pets;Gender;Biosecurity;Handwash;Eggtrays;Sulfa_res;Cip_res;Tet_res;Trim_res;SxT_res;Clr_res;Amp_res
1;1;0;0;1;1;1;0;0;0;0;0
1;1;0;0;1;0;0;0;0;0;0;0
1;1;0;0;1;0;0;0;0;0;0;0
1;1;1;0;1;0;0;0;0;0;0;0
1;1;1;0;0;1;1;0;0;0;0;0
1;1;1;0;0;0;1;0;0;0;0;0
1;1;1;1;0;1;0;0;1;1;0;0
1;1;1;1;0;1;1;0;0;0;0;0
1;2;1;1;1;1;1;0;0;0;0;0
1;2;1;1;1;1;1;0;0;0;0;0
1;1;0;0;1;0;1;0;0;0;0;0
1;1;0;0;1;1;1;1;0;0;0;0
1;1;0;0;1;0;1;1;0;0;0;0
1;1;0;0;1;0;1;1;0;0;0;0
0;1;1;1;1;0;0;1;0;0;0;0
0;1;1;1;1;1;1;0;0;0;0;0
0;1;1;1;1;1;1;0;0;0;0;0
0;1;0;0;0;1;1;1;0;0;0;0
0;1;0;0;0;0;1;0;0;0;0;0
0;1;0;0;0;0;1;0;0;0;0;0
1;2;1;1;1;0;0;0;1;1;0;0
0;1;1;1;1;1;1;0;1;1;0;0
0;1;1;1;1;1;0;0;1;1;0;0
0;1;1;1;1;1;0;0;0;0;0;0
1;1;0;0;1;0;0;0;0;0;0;0
1;2;0;1;1;0;1;0;0;0;0;0
1;2;0;1;1;0;0;0;0;0;0;0
1;1;0;0;1;0;1;0;0;0;0;0
0;2;0;0;0;1;1;0;0;0;0;0
1;1;0;1;1;1;1;0;0;0;0;0
1;1;0;1;1;1;0;0;0;0;0;0
0;1;0;0;1;1;1;0;0;0;0;0
0;1;0;0;1;1;1;0;0;0;0;0
1;1;1;0;1;0;1;0;0;0;0;0
0;2;0;0;0;0;1;0;0;0;0;0
1;1;0;0;0;0;1;0;0;0;0;0
1;1;1;1;0;1;0;0;1;1;0;0
1;1;1;1;0;1;1;0;1;1;0;0
0;1;1;1;1;0;1;0;0;0;0;0
0;1;1;1;1;0;1;0;0;0;0;0
0;1;1;1;1;0;1;0;0;0;0;0
0;1;1;1;1;0;1;0;0;0;1;1
1;2;1;1;1;0;1;0;0;0;1;1
1;2;1;1;1;0;0;0;0;0;0;0
1;2;0;0;0;0;1;0;0;0;1;1
1;1;1;1;0;1;1;0;0;0;0;0
1;1;1;1;0;0;1;0;0;0;0;0
1;1;1;1;0;0;1;0;0;0;0;0
1;2;0;0;0;0;1;0;0;0;1;1
1;2;1;1;1;0;1;0;0;0;0;0
1;1;1;1;0;0;1;0;0;0;0;0
0;2;0;0;0;0;1;0;0;0;0;0
0;1;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0
0;2;0;0;1;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0
1;1;0;0;1;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0
0;2;0;0;0;0;0;0;0;0;0;0
1;2;0;0;0;0;0;0;0;0;0;0
1;1;0;0;1;0;0;0;0;0;0;0
1;2;1;1;1;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0
0;2;0;0;1;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0
1;1;0;0;1;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0
0;2;0;1;0;0;0;0;0;0;0;0
1;1;0;0;1;0;0;0;0;0;0;0
1;1;0;0;1;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0
0;2;0;0;1;0;0;0;0;0;0;0
1;1;0;0;1;0;0;0;0;0;0;0
0;2;0;1;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0
0;2;1;0;0;0;0;1;0;0;0;0
0;2;0;0;1;0;0;1;0;0;0;0
1;2;1;1;1;0;0;1;0;0;0;0
0;2;1;0;0;0;1;1;0;0;0;0
1;1;0;0;1;0;0;1;0;0;0;0
1;1;0;0;1;0;0;1;0;0;0;0
1;2;1;1;1;0;0;1;0;0;0;0
0;2;0;0;1;0;0;1;0;0;0;0
